Müşteri No,Ad,Soyad,Cinsiyet,Doğum Tarihi,İkamet İli,Meslek,Müşteri Segmenti,İlk Kayıt Tarihi,Adres,Telefon Numarası
934,Ahmet,Ozturk,M,1964-03-05,Konya,Yazılım Geliştirici,Özel Bankacılık,2021-10-27,"Emek Mah. 6. Sokak No:7, Konya, Türkiye",0534 134 19 34
935,Elif,Ozdemir,F,1964-03-05,Konya,Yazılım Geliştirici,Standart,2023-11-24,"Göztepe Mah. 21. Sokak No:5, Konya, Türkiye",0530 135 19 35
936,Seda,Aslan,F,2004-07-05,Sakarya,Resepsiyonist,Standart,2023-12-06,"Güzelbahçe Mah. 3. Sokak No:55, Sakarya, Türkiye",0531 136 19 36
937,Ahmet,Aydin,M,1964-05-08,Adana,Yazılım Geliştirici,Standart,2022-04-26,"Levent Mah. 28. Sokak No:17, Adana, Türkiye",0532 137 19 37
938,Huseyin,Yildirim,M,1995-01-17,Konya,Yönetici,Özel Bankacılık,2021-05-06,"Balgat Mah. 2. Sokak No:5, Konya, Türkiye",0533 138 19 38
939,Ahmet,Arslan,M,1984-11-26,Erzurum,Yazılım Geliştirici,Standart,2022-04-28,"Zeytinlik Mah. 11. Sokak No:18, Erzurum, Türkiye",0534 139 19 39
940,Gokhan,Aslan,M,1960-09-10,Adana,Yazılım Geliştirici,Standart,2024-03-13,"Balgat Mah. 29. Sokak No:48, Adana, Türkiye",0530 140 19 40
941,Ayse,Aydin,F,1979-10-02,Eskisehir,Tasarımcı,Standart,2022-05-18,"Yeşiltepe Mah. 28. Sokak No:45, Eskisehir, Türkiye",0531 141 19 41
942,Omer,Yildirim,M,1957-04-28,Adana,Doktor,Standart,2024-06-29,"Maslak Mah. 9. Sokak No:58, Adana, Türkiye",0532 142 19 42
943,Merve,Ozdemir,F,1990-05-23,Adana,Doktor,Standart,2021-04-20,"Cihangir Mah. 19. Sokak No:46, Adana, Türkiye",0533 143 19 43
944,Elif,Kilic,F,1989-01-28,Balikesir,Öğrenci,Özel Bankacılık,2022-06-26,"Mezitli Mah. 23. Sokak No:22, Balikesir, Türkiye",0534 144 19 44
945,Zeynep,Polat,F,1999-09-12,Bursa,Yönetici,Standart,2023-04-27,"Çayyolu Mah. 15. Sokak No:60, Bursa, Türkiye",0530 145 19 45
946,Mustafa,Kaya,M,1959-09-15,Gaziantep,Hemşire,Özel Bankacılık,2021-12-01,"Akçay Mah. 8. Sokak No:53, Gaziantep, Türkiye",0531 146 19 46
947,Ahmet,Yildiz,M,1957-05-04,Antalya,Hemşire,Özel Bankacılık,2023-10-20,"Yalı Mah. 16. Sokak No:59, Antalya, Türkiye",0532 147 19 47
948,Mustafa,Simsek,M,1969-02-28,Istanbul,Öğrenci,Öğrenci,2024-01-07,"Kemerburgaz Mah. 20. Sokak No:28, Istanbul, Türkiye",0533 148 19 48
949,Huseyin,Celik,M,1968-05-21,Eskisehir,Satış Görevlisi,Özel Bankacılık,2021-01-15,"Beylerbeyi Mah. 21. Sokak No:60, Eskisehir, Türkiye",0534 149 19 49
950,Emre,Kurt,M,1969-10-14,Ankara,Tasarımcı,Standart,2022-01-07,"Çiğli Mah. 13. Sokak No:58, Ankara, Türkiye",0530 150 19 50
951,Burcu,Simsek,F,1983-10-01,Eskisehir,Öğretmen,Öğrenci,2022-04-24,"Arnavutköy Mah. 24. Sokak No:25, Eskisehir, Türkiye",0531 151 19 51
952,Ali,Celik,M,1997-12-28,Istanbul,Mühendis,Standart,2022-05-22,"Mezitli Mah. 15. Sokak No:30, Istanbul, Türkiye",0532 152 19 52
953,Zeynep,Yildiz,F,2005-03-21,Istanbul,Muhasebeci,Standart,2023-04-03,"Pozcu Mah. 26. Sokak No:6, Istanbul, Türkiye",0533 153 19 53
954,Seda,Yildiz,F,1958-05-21,Bursa,Tasarımcı,Standart,2022-04-13,"Yenişehir Mah. 8. Sokak No:48, Bursa, Türkiye",0534 154 19 54
955,Yusuf,Demir,M,1999-03-26,Sakarya,Öğrenci,Standart,2022-09-07,"Emek Mah. 28. Sokak No:17, Sakarya, Türkiye",0530 155 19 55
956,Yusuf,Kilic,M,1957-02-20,Trabzon,Hemşire,Özel Bankacılık,2021-05-12,"Kavaklı Mah. 9. Sokak No:20, Trabzon, Türkiye",0531 156 19 56
957,Ece,Ozkan,F,1992-01-27,Kocaeli,Mühendis,Standart,2021-04-09,"Çankaya Mah. 11. Sokak No:45, Kocaeli, Türkiye",0532 157 19 57
958,Elif,Sahin,F,1993-04-04,Istanbul,Doktor,Standart,2022-06-01,"Karşıyaka Mah. 10. Sokak No:50, Istanbul, Türkiye",0533 158 19 58
959,Yusuf,Yildirim,M,1993-09-17,Konya,Hemşire,Öğrenci,2023-05-26,"Yeniköy Mah. 20. Sokak No:60, Konya, Türkiye",0534 159 19 59
960,Ali,Kaya,M,1965-07-25,Denizli,Muhasebeci,Standart,2024-04-17,"Arnavutköy Mah. 5. Sokak No:47, Denizli, Türkiye",0530 160 19 60
961,Merve,Aslan,F,1982-01-10,Balikesir,Hemşire,Özel Bankacılık,2023-12-09,"Teşvikiye Mah. 9. Sokak No:11, Balikesir, Türkiye",0531 161 19 61
962,Mehmet,Ozturk,M,2003-02-20,Konya,Öğretmen,Özel Bankacılık,2023-01-15,"Arnavutköy Mah. 25. Sokak No:58, Konya, Türkiye",0532 162 19 62
963,Mehmet,Arslan,M,1999-05-27,Adana,Satış Görevlisi,Standart,2024-02-23,"Çiğli Mah. 24. Sokak No:35, Adana, Türkiye",0533 163 19 63
964,Mustafa,Simsek,M,1991-10-24,Antalya,Doktor,Standart,2024-10-18,"Mezitli Mah. 7. Sokak No:27, Antalya, Türkiye",0534 164 19 64
965,Mustafa,Yilmaz,M,1956-07-14,Izmir,Mühendis,Standart,2021-12-14,"Balgat Mah. 25. Sokak No:56, Izmir, Türkiye",0530 165 19 65
966,Seda,Kurt,F,1994-11-17,Sakarya,Öğrenci,Standart,2023-06-22,"Beylerbeyi Mah. 11. Sokak No:55, Sakarya, Türkiye",0531 166 19 66
967,Yusuf,Kurt,M,2004-07-27,Samsun,Tasarımcı,Standart,2024-03-09,"Erenköy Mah. 8. Sokak No:55, Samsun, Türkiye",0532 167 19 67
968,Huseyin,Polat,M,2005-12-26,Malatya,Satış Görevlisi,Standart,2024-04-12,"Yenişehir Mah. 4. Sokak No:36, Malatya, Türkiye",0533 168 19 68
969,Elif,Simsek,F,1994-11-20,Eskisehir,Mühendis,Standart,2021-11-17,"Nişantaşı Mah. 3. Sokak No:30, Eskisehir, Türkiye",0534 169 19 69
970,Ali,Yildirim,M,1988-12-05,Adana,Öğrenci,Standart,2023-09-12,"Koşuyolu Mah. 27. Sokak No:4, Adana, Türkiye",0530 170 19 70
971,Merve,Arslan,F,1976-11-01,Sakarya,Mühendis,Standart,2022-08-29,"Bostanlı Mah. 22. Sokak No:51, Sakarya, Türkiye",0531 171 19 71
972,Elif,Simsek,F,2000-05-13,Gaziantep,Yazılım Geliştirici,Standart,2024-01-09,"Bahariye Mah. 21. Sokak No:28, Gaziantep, Türkiye",0532 172 19 72
973,Omer,Sahin,M,1989-12-23,Kayseri,Yönetici,Standart,2023-08-19,"Çankaya Mah. 27. Sokak No:7, Kayseri, Türkiye",0533 173 19 73
974,Elif,Kurt,F,1982-03-13,Samsun,Öğrenci,Standart,2023-04-18,"Kurtuluş Mah. 29. Sokak No:25, Samsun, Türkiye",0534 174 19 74
975,Fatma,Polat,F,1965-01-26,Adana,Öğretmen,Standart,2023-06-09,"Barbaros Mah. 29. Sokak No:35, Adana, Türkiye",0530 175 19 75
976,Merve,Ozturk,F,1977-01-01,Adana,Satış Görevlisi,Standart,2023-11-19,"Nişantaşı Mah. 15. Sokak No:28, Adana, Türkiye",0531 176 19 76
977,Seda,Aydin,F,1977-04-18,Erzurum,Doktor,Öğrenci,2021-11-07,"Kandilli Mah. 14. Sokak No:46, Erzurum, Türkiye",0532 177 19 77
978,Burcu,Arslan,F,1966-08-02,Manisa,Tasarımcı,Standart,2024-01-31,"Çayyolu Mah. 27. Sokak No:29, Manisa, Türkiye",0533 178 19 78
979,Can,Demir,M,1969-04-13,Denizli,Hemşire,Standart,2021-03-30,"Cihangir Mah. 1. Sokak No:22, Denizli, Türkiye",0534 179 19 79
980,Emre,Kurt,M,1968-04-19,Eskisehir,Öğretmen,Özel Bankacılık,2021-04-08,"Pozcu Mah. 24. Sokak No:2, Eskisehir, Türkiye",0530 180 19 80
981,Burcu,Sahin,F,2003-06-04,Malatya,Yönetici,Standart,2021-02-10,"Kızılay Mah. 30. Sokak No:31, Malatya, Türkiye",0531 181 19 81
982,Merve,Demir,F,2003-06-09,Samsun,Yönetici,Standart,2023-02-02,"Çamlık Mah. 15. Sokak No:52, Samsun, Türkiye",0532 182 19 82
983,Ayse,Koc,F,1960-08-12,Antalya,Mühendis,Özel Bankacılık,2023-11-24,"Çengelköy Mah. 27. Sokak No:3, Antalya, Türkiye",0533 183 19 83
984,Burcu,Yilmaz,F,1955-08-15,Kayseri,Resepsiyonist,Özel Bankacılık,2023-01-16,"Çiğli Mah. 5. Sokak No:22, Kayseri, Türkiye",0534 184 19 84
985,Can,Simsek,M,1959-01-07,Gaziantep,Doktor,Standart,2024-09-18,"Kavaklı Mah. 29. Sokak No:20, Gaziantep, Türkiye",0530 185 19 85
986,Mehmet,Simsek,M,1964-10-21,Adana,Yazılım Geliştirici,Standart,2023-08-27,"Tunalı Mah. 11. Sokak No:24, Adana, Türkiye",0531 186 19 86
987,Seda,Polat,F,1976-12-04,Trabzon,Mühendis,Özel Bankacılık,2024-02-27,"Bostanlı Mah. 17. Sokak No:51, Trabzon, Türkiye",0532 187 19 87
988,Mustafa,Yildiz,M,1983-08-19,Bursa,Yönetici,Standart,2022-07-02,"Emek Mah. 3. Sokak No:34, Bursa, Türkiye",0533 188 19 88
989,Yusuf,Kurt,M,1992-04-11,Samsun,Tasarımcı,Özel Bankacılık,2022-06-13,"Zeytinlik Mah. 29. Sokak No:56, Samsun, Türkiye",0534 189 19 89
990,Ece,Polat,F,1956-08-01,Ankara,Yazılım Geliştirici,Standart,2023-05-03,"Bahçelievler Mah. 11. Sokak No:12, Ankara, Türkiye",0530 190 19 90
991,Yusuf,Simsek,M,1993-08-26,Antalya,Muhasebeci,Standart,2021-03-05,"Arnavutköy Mah. 10. Sokak No:43, Antalya, Türkiye",0531 191 19 91
992,Ali,Dogan,M,1978-02-20,Kayseri,Doktor,Standart,2021-04-06,"Çengelköy Mah. 8. Sokak No:36, Kayseri, Türkiye",0532 192 19 92
993,Seda,Kilic,F,1968-06-14,Antalya,Mühendis,Standart,2021-07-14,"Çengelköy Mah. 2. Sokak No:31, Antalya, Türkiye",0533 193 19 93
994,Yusuf,Kilic,M,1994-06-08,Samsun,Satış Görevlisi,Standart,2022-07-26,"Göztepe Mah. 23. Sokak No:7, Samsun, Türkiye",0534 194 19 94
995,Huseyin,Aslan,M,1958-10-05,Malatya,Doktor,Standart,2024-04-06,"Balgat Mah. 14. Sokak No:54, Malatya, Türkiye",0530 195 19 95
996,Zeynep,Simsek,F,1992-12-08,Mersin,Mühendis,Öğrenci,2022-06-13,"Ulus Mah. 14. Sokak No:2, Mersin, Türkiye",0531 196 19 96
997,Elif,Celik,F,1978-03-03,Erzurum,Hemşire,Standart,2021-05-03,"Cihangir Mah. 17. Sokak No:20, Erzurum, Türkiye",0532 197 19 97
998,Can,Polat,M,2004-04-09,Erzurum,Hemşire,Standart,2024-10-20,"Kavaklı Mah. 27. Sokak No:17, Erzurum, Türkiye",0533 198 19 98
999,Huseyin,Celik,M,1966-08-07,Adana,Mühendis,Standart,2021-02-03,"Yalı Mah. 30. Sokak No:19, Adana, Türkiye",0534 199 19 99
1000,Cem,Yilmaz,M,1989-02-14,Sakarya,Doktor,Standart,2023-09-22,"Teşvikiye Mah. 21. Sokak No:12, Sakarya, Türkiye",0530 200 20 00
